WJSpecID,Scientific,ScientificGenus,English,help1,help2,EnglishGenus,2010 IUCN Red List category,Taxo,BLFamilyLatin,BLFamilyEnglish,FamSequID,IOCOrder
231,Tetraogallus caucasicus,Tetraogallus,Caucasian Snowcock,10,#VALUE!,Snowcock,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
232,Tetraogallus caspius,Tetraogallus,Caspian Snowcock,8,#VALUE!,Snowcock,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
233,Tetraogallus tibetanus,Tetraogallus,Tibetan Snowcock,8,#VALUE!,Snowcock,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
234,Tetraogallus altaicus,Tetraogallus,Altai Snowcock,6,#VALUE!,Snowcock,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
235,Tetraogallus himalayensis,Tetraogallus,Himalayan Snowcock,10,#VALUE!,Snowcock,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
236,Tetraophasis obscurus,Tetraophasis,Chestnut-throated Partridge,18,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
237,Tetraophasis szechenyii,Tetraophasis,Buff-throated Partridge,14,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
239,Alectoris barbara,Alectoris,Barbary Partridge,8,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
240,Alectoris melanocephala,Alectoris,Arabian Partridge,8,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
241,Alectoris chukar,Alectoris,Chukar,#VALUE!,#VALUE!,Chukar,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
242,Alectoris philbyi,Alectoris,Philby's Partridge,9,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
243,Alectoris magna,Alectoris,Rusty-necklaced Partridge,16,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
244,Alectoris graeca,Alectoris,Rock Partridge,5,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
245,Alectoris rufa,Alectoris,Red-legged Partridge,11,#VALUE!,Partridge,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
247,Francolinus francolinus,Francolinus,Black Francolin,6,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
248,Francolinus pictus,Francolinus,Painted Francolin,8,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
249,Francolinus pintadeanus,Francolinus,Chinese Francolin,8,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
250,Francolinus pondicerianus,Francolinus,Grey Francolin,5,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
251,Francolinus gularis,Francolinus,Swamp Francolin,6,#VALUE!,Francolin,VU,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
252,Francolinus coqui,Francolinus,Coqui Francolin,6,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
253,Francolinus albogularis,Francolinus,White-throated Francolin,15,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
254,Francolinus schlegelii,Francolinus,Schlegel's Francolin,11,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
255,Francolinus lathami,Francolinus,Forest Francolin,7,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
256,Francolinus sephaena,Francolinus,Crested Francolin,8,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
259,Francolinus streptophorus,Francolinus,Ring-necked Francolin,12,#VALUE!,Francolin,NT,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
260,Francolinus finschi,Francolinus,Finsch's Francolin,9,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
261,Francolinus africanus,Francolinus,Grey-winged Francolin,12,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
262,Francolinus levaillantii,Francolinus,Red-winged Francolin,11,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
263,Francolinus psilolaemus,Francolinus,Moorland Francolin,9,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
264,Francolinus shelleyi,Francolinus,Shelley's Francolin,10,#VALUE!,Francolin,LC,BL3,Phasianidae,"Grouse, pheasants and partridges",11,GALLIFORMES
